series,frame,time_s,value
current,0,0,0
current,1,0.02,1545924722490.9941
current,2,0.16999999999999998,394013628496157
current,3,0.31999999999999995,1472162431493531
current,4,0.47,3226145048386106
current,5,0.62,5645722851025841
current,6,0.77,8720270740622735
current,7,0.92,12438790560046530
current,8,1.07,16789922401811178
current,9,1.22,21761956099967880
current,10,1.3699999999999999,27342842881721172
current,11,1.5199999999999998,33520207168420080
current,12,1.6699999999999997,40281358515813790
current,13,1.8199999999999996,47613303683438400
current,14,1.9699999999999995,55502758822991896
current,15,2.1199999999999997,63936161775554890
current,16,2.2699999999999996,72899684467513060
current,17,2.4199999999999995,82379245395057310
current,18,2.5699999999999994,92360522187149360
current,19,2.7199999999999993,102828964236876800
current,20,2.869999999999999,113769805391153040
current,21,3.019999999999999,125168076688760180
current,22,3.169999999999999,137008619136782320
current,23,3.319999999999999,149276096515537180
current,24,3.469999999999999,161955008202175200
current,25,3.6199999999999988,175029702003185280
current,26,3.7699999999999987,188484386986130940
current,27,3.9199999999999986,202303146301019100
current,28,4.0699999999999985,216469949981795070
current,29,4.219999999999999,230968667718565020
current,30,4.369999999999999,245783081591234700
current,31,4.52,260896898755379840
current,32,4.67,276293764071274600
current,33,4.82,291957272667123140
current,34,4.970000000000001,307870982427669300
current,35,5.120000000000001,324018426399505200
current,36,5.270000000000001,340383125104515300
current,37,5.420000000000002,356948598753061100
current,38,5.570000000000002,373698379348651500
current,39,5.720000000000002,390616022675994560
current,40,5.870000000000003,407685120164498800
current,41,6.020000000000003,424889310619439500
current,42,6.1700000000000035,442212291813191000
current,43,6.320000000000004,459637831929093300
current,44,6.470000000000004,477149780850696700
current,45,6.6200000000000045,494732081289310140
current,46,6.770000000000005,512368779742972600
current,47,6.920000000000005,530044037280141760
current,48,7.070000000000006,547742140141598140
current,49,7.220000000000006,565447510154255170
current,50,7.370000000000006,583144714950764200
current,51,7.520000000000007,600818477989005000
current,52,7.670000000000007,618453688365749900
current,53,7.820000000000007,636035410419024100
current,54,7.970000000000008,653548893113855400
current,55,8.120000000000008,670979579206342300
current,56,8.270000000000008,688313114181179600
current,57,8.420000000000009,705535354957995500
current,58,8.57000000000001,722632378362066700
current,59,8.72000000000001,739590489355201200
current,60,8.87000000000001,756396229022797600
current,61,9.02000000000001,773036382313303400
current,62,9.17000000000001,789497985526537700
current,63,9.320000000000011,805768333547522600
current,64,9.470000000000011,821834986822757000
current,65,9.620000000000012,837685778076021000
current,66,9.770000000000012,853308818761056300
current,67,9.920000000000012,868692505248695400
current,68,10.070000000000013,883825524746244600
current,69,10.220000000000013,898696860947083900
current,70,10.370000000000013,913295799408771100
current,71,10.520000000000014,927611932658077300
current,72,10.670000000000014,941635165021626000
current,73,10.820000000000014,955355717181037700
current,74,10.970000000000015,968764130451694700
current,75,11.120000000000015,981851270784471000
current,76,11.270000000000016,994608332489950600
current,77,11.420000000000016,1007026841684903400
current,78,11.570000000000016,1019098659460990000
current,79,11.720000000000017,1030815984775892400
current,80,11.870000000000017,1042171357067242800
current,81,12.020000000000017,1053157658589951700
current,82,12.170000000000018,1063768116477750900
current,83,12.320000000000018,1073996304529941900
current,84,12.470000000000018,1083836144724544900
current,85,12.620000000000019,1093281908459247200
current,86,12.77000000000002,1102328217521755400
current,87,12.92000000000002,1110970044791308000
current,88,13.07000000000002,1119202714673312100
current,89,13.22000000000002,1127021903269273100
current,90,13.37000000000002,1134423638284318100
current,91,13.520000000000021,1141404298674852200
current,92,13.670000000000021,1147960614038991400
current,93,13.820000000000022,1154089663752630500
current,94,13.970000000000022,1159788875854151400
current,95,14.120000000000022,1165056025680972800
current,96,14.270000000000023,1169889234261229800
current,97,14.420000000000023,1174286966464111900
current,98,14.570000000000023,1178248028912452600
current,99,14.720000000000024,1181771567661378800
current,100,14.870000000000024,1184857065646907000
