frame,time_s,pressure_min_GPa,pressure_max_GPa,pressure_mean_GPa,internal_min_MJkg,internal_max_MJkg,internal_mean_MJkg,damage_mean,damage_max,kinetic_J,internal_J
0,0,0,0,0,0,0,0,0,0,3.053628059289282e+25,0
1,0.02,0,0,0,0,0.005073519717487208,0.000053355390933311744,0,0,3.053554702165628e+25,733777270162458700000
2,0.16999999999999998,0,0.5300246327713393,0.005664068868558431,0,0.08538908203010877,0.0009077153893780203,0,0,3.0523800533331997e+25,1.2483479342036092e+22
3,0.31999999999999995,0,1.1163410463354904,0.012165350499072185,0,0.1743340280831039,0.0018744151263037248,0,0,3.0510508463459314e+25,2.5778148945613914e+22
4,0.47,0,1.7686009706815837,0.019572405792225016,0,0.27226033540035127,0.002961736911883163,1.644105296985198e-10,1.4809126230622136e-7,3.0495557966217384e+25,4.073168967794356e+22
5,0.62,0,2.489963549230144,0.02795644410760284,3.352816942597107e-28,0.37943574981877587,0.0041773949862781625,4.575808235081255e-9,0.000003998464082267976,3.0478842973335268e+25,5.745019267598998e+22
6,0.77,1.1857181903002108e-14,3.2835678859798962,0.03738675267888823,1.0574116006798665e-25,0.4960641482139777,0.005528500879731167,2.4242862409287958e-8,0.000018511407788277666,3.0460265710478587e+25,7.603146022658313e+22
7,0.92,2.9050095662512537e-13,4.1522888131052165,0.04793107725627799,2.499761143789013e-24,0.6222661256919741,0.007021522241366,7.405641643380562e-8,0.000050795302971033905,3.0439737251903545e+25,9.65644395539009e+22
8,1.07,1.683719830263855e-12,5.098483424517677,0.059655639598180626,2.6970312052316076e-23,0.7580664220588005,0.008662372536543518,1.476502434904198e-7,0.00007582272630078534,3.0417176283986817e+25,1.1913045639455176e+23
9,1.22,6.171663180896393e-12,6.124075684601638,0.07262746015078968,1.8802741302654881e-22,0.9033867256382556,0.010456591937877466,2.6523774860690085e-7,0.00007582272630078534,3.0392506611853196e+25,1.4380570272587162e+23
10,1.3699999999999999,1.7643486674185913e-11,7.230341297185437,0.08691525863271976,9.839705464055172e-22,1.058041522714662,0.012409480869250214,4.982201294008771e-7,0.00010643911386997351,3.036565532705636e+25,1.7066307334816265e+23
11,1.5199999999999998,4.297042722893886e-11,8.417989695699099,0.10258972855228281,4.1923583500528646e-21,1.2217472510034637,0.01452600049918441,8.842358071332847e-7,0.00017569251177485486,3.033655417482175e+25,1.9977079740625292e+23
12,1.6699999999999997,9.35057365375522e-11,9.687203968142125,0.1197193757243832,1.528621838234596e-20,1.3941619040022701,0.016810469655573715,0.0000014639678490973576,0.00026989632555308833,3.0305143730349544e+25,2.311882701681128e+23
13,1.8199999999999996,1.8692254428590465e-10,11.038338055303676,0.13836795284106745,4.930385768052915e-20,1.5748902985405808,0.019266334878445146,0.0000021458586815608087,0.0003470872643826535,3.0271376551898975e+25,2.6496289064419297e+23
14,1.9699999999999995,3.49703866411033e-10,12.47091452766034,0.15859309848286263,1.4397693997860006e-19,1.7634532866447068,0.021896111708025804,0.000002909490278636957,0.0005396749115857042,3.02352179880441e+25,3.011292541435824e+23
15,2.1199999999999997,6.201246864749909e-10,13.983683756266979,0.1804469102849968,3.871912135315034e-19,1.9592928858438874,0.024701362613488043,0.000003927838862705323,0.0007928765387616928,3.0196646487634456e+25,3.397088487360696e+23
16,2.2699999999999996,1.0520225397640879e-9,15.574739646730837,0.2039739952730484,9.713361319606587e-19,2.161788077089139,0.02768254244493332,0.000005087858683683327,0.0011149852565997672,3.015565572619588e+25,3.807079298095355e+23
17,2.4199999999999995,1.7193862431750683e-9,17.241562609813105,0.22920887292971068,2.2959834690323052e-18,2.3702711468461226,0.030838628792212715,0.0000062096285782948165,0.0015142941757890762,3.011225965355156e+25,4.241124365293576e+23
18,2.5699999999999994,2.7218457713402258e-9,18.981073449065264,0.25616966830225535,5.154320235492856e-18,2.583937817906581,0.03416742222877901,0.000007429586798482489,0.001999096407018768,3.0066488342568716e+25,4.698921209828236e+23
