series,frame,time_year,distance_AU,barycentric_speed_km_s
current,0,1.06640625,1.0000000730650924,29.784645080566406
current,1,1.0703125,1.000000074631158,29.784645080566406
current,2,1.07421875,1.0000000719338613,29.784645080566406
current,3,1.078125,1.0000000755173664,29.784645080566406
current,4,1.08203125,1.0000000651264023,29.784645080566406
current,5,1.0859375,1.0000000709841523,29.784645080566406
current,6,1.08984375,1.0000000741557866,29.784645080566406
current,7,1.09375,1.000000079974573,29.784645080566406
current,8,1.09765625,1.000000105604143,29.784643173217773
current,9,1.1015625,1.0000001213200707,29.784643173217773
current,10,1.10546875,1.0000001154020606,29.784643173217773
current,11,1.109375,1.000000142576348,29.784643173217773
current,12,1.11328125,1.0000001460662693,29.784643173217773
current,13,1.1171875,1.0000001780553276,29.784643173217773
current,14,1.12109375,1.0000001297636374,29.784643173217773
current,15,1.125,1.0000001706662065,29.78464126586914
current,16,1.12890625,1.0000001881322782,29.78464126586914
current,17,1.1328125,1.000000215351166,29.78464126586914
current,18,1.13671875,1.0000001720506408,29.78464126586914
current,19,1.140625,1.0000002096710536,29.78464126586914
current,20,1.14453125,1.0000001937726906,29.78464126586914
current,21,1.1484375,1.000000231025826,29.784639358520508
current,22,1.15234375,1.0000002714036287,29.784639358520508
current,23,1.15625,1.0000002816756446,29.784639358520508
current,24,1.16015625,1.0000002617835428,29.784639358520508
current,25,1.1640625,1.0000002617552701,29.784639358520508
current,26,1.16796875,1.0000003197120515,29.784637451171875
current,27,1.171875,1.0000003212744495,29.784637451171875
current,28,1.17578125,1.000000318340731,29.784637451171875
current,29,1.1796875,1.0000003598712104,29.784637451171875
current,30,1.18359375,1.0000003324388145,29.784637451171875
current,31,1.1875,1.0000003620348188,29.784635543823242
current,32,1.19140625,1.0000003822833103,29.784635543823242
current,33,1.1953125,1.000000404400569,29.784635543823242
current,34,1.19921875,1.0000003872702232,29.784635543823242
current,35,1.203125,1.0000004372240063,29.784635543823242
current,36,1.20703125,1.0000004292275961,29.78463363647461
current,37,1.2109375,1.0000004351557663,29.78463363647461
current,38,1.21484375,1.0000004570950718,29.78463363647461
current,39,1.21875,1.0000004668853668,29.78463363647461
current,40,1.22265625,1.0000004828132527,29.784631729125977
current,41,1.2265625,1.0000004735303298,29.784631729125977
current,42,1.23046875,1.000000524350469,29.784631729125977
current,43,1.234375,1.0000005385730886,29.784631729125977
current,44,1.23828125,1.000000539912037,29.784631729125977
current,45,1.2421875,1.000000546450426,29.784629821777344
current,46,1.24609375,1.0000005730336796,29.784629821777344
current,47,1.25,1.000000569706037,29.784629821777344
current,48,1.25390625,1.0000006007080866,29.784629821777344
current,49,1.2578125,1.0000006059035602,29.78462791442871
current,50,1.26171875,1.0000006390186054,29.78462791442871
current,51,1.265625,1.0000006312720944,29.78462791442871
current,52,1.26953125,1.0000006851121976,29.78462791442871
current,53,1.2734375,1.0000006646568629,29.78462791442871
current,54,1.27734375,1.000000669268308,29.784626007080078
current,55,1.28125,1.0000006792468277,29.784626007080078
current,56,1.28515625,1.0000007239455095,29.784626007080078
current,57,1.2890625,1.0000007331324088,29.784626007080078
current,58,1.29296875,1.0000007472526564,29.784624099731445
current,59,1.296875,1.000000757736212,29.784624099731445
current,60,1.30078125,1.0000007526932289,29.784624099731445
current,61,1.3046875,1.0000008130796365,29.784624099731445
current,62,1.30859375,1.0000007716516837,29.784624099731445
current,63,1.3125,1.0000007960649027,29.784622192382813
current,64,1.31640625,1.0000008002346428,29.784622192382813
current,65,1.3203125,1.0000008234964166,29.784622192382813
current,66,1.32421875,1.000000853586024,29.784622192382813
current,67,1.328125,1.0000008880875535,29.784622192382813
current,68,1.33203125,1.0000008686812047,29.78462028503418
current,69,1.3359375,1.0000008646248528,29.78462028503418
current,70,1.33984375,1.000000922471351,29.78462028503418
current,71,1.34375,1.00000093050891,29.78462028503418
current,72,1.34765625,1.0000009074540672,29.78462028503418
current,73,1.3515625,1.0000009565774177,29.784618377685547
current,74,1.35546875,1.0000009825898146,29.784618377685547
current,75,1.359375,1.0000009932425877,29.784618377685547
current,76,1.36328125,1.0000009788296986,29.784618377685547
current,77,1.3671875,1.0000009465591155,29.784618377685547
current,78,1.37109375,1.0000010015408085,29.784618377685547
current,79,1.375,1.0000010176595109,29.784616470336914
current,80,1.37890625,1.0000010098125365,29.784616470336914
current,81,1.3828125,1.0000010504618233,29.784616470336914
current,82,1.38671875,1.0000010224906306,29.784616470336914
current,83,1.390625,1.0000010283399325,29.784616470336914
current,84,1.39453125,1.0000010709058245,29.784616470336914
current,85,1.3984375,1.0000010343955616,29.78461456298828
current,86,1.40234375,1.0000010467503362,29.78461456298828
current,87,1.40625,1.0000010765100291,29.78461456298828
current,88,1.41015625,1.0000010748575294,29.78461456298828
current,89,1.4140625,1.0000010602846097,29.78461456298828
current,90,1.41796875,1.0000011178977375,29.78461456298828
current,91,1.421875,1.0000011165158664,29.78461456298828
current,92,1.42578125,1.0000011336138146,29.78461456298828
current,93,1.4296875,1.0000011281615604,29.78461456298828
current,94,1.43359375,1.000001119143577,29.78461265563965
current,95,1.4375,1.0000011536060691,29.78461265563965
current,96,1.44140625,1.000001121444226,29.78461265563965
current,97,1.4453125,1.0000011336647754,29.78461265563965
current,98,1.44921875,1.0000011518902534,29.78461265563965
current,99,1.453125,1.0000011796104527,29.78461265563965
current,100,1.45703125,1.0000011391288632,29.78461265563965
current,101,1.4609375,1.0000011650576,29.78461265563965
current,102,1.46484375,1.0000011477153845,29.78461265563965
current,103,1.46875,1.0000011653172924,29.78461265563965
current,104,1.47265625,1.00000119086696,29.78461265563965
current,105,1.4765625,1.000001182293857,29.78461265563965
current,106,1.48046875,1.0000011717839918,29.78461265563965
current,107,1.484375,1.00000118173536,29.78461265563965
current,108,1.48828125,1.0000011754831588,29.78461265563965
current,109,1.4921875,1.0000011724387414,29.78461265563965
current,110,1.49609375,1.0000011871793244,29.78461265563965
current,111,1.5,1.000001170401256,29.78461265563965
current,112,1.50390625,1.0000011868622836,29.78461265563965
current,113,1.5078125,1.000001176944579,29.78461265563965
current,114,1.51171875,1.0000011950285512,29.78461265563965
current,115,1.515625,1.0000011720738156,29.78461265563965
current,116,1.51953125,1.00000115270322,29.78461265563965
current,117,1.5234375,1.0000011792860433,29.78461265563965
current,118,1.52734375,1.0000011732079774,29.78461265563965
current,119,1.53125,1.0000011712419044,29.78461265563965
current,120,1.53515625,1.0000011535073137,29.78461265563965
current,121,1.5390625,1.0000011579128802,29.78461265563965
current,122,1.54296875,1.0000011735103325,29.78461265563965
current,123,1.546875,1.0000011272746736,29.78461265563965
current,124,1.55078125,1.0000011396395159,29.78461265563965
current,125,1.5546875,1.0000011511468896,29.78461265563965
current,126,1.55859375,1.0000011257765071,29.78461265563965
current,127,1.5625,1.0000011092517902,29.78461265563965
current,128,1.56640625,1.0000010949426679,29.78461265563965
current,129,1.5703125,1.0000010998853646,29.78461456298828
current,130,1.57421875,1.0000011109593694,29.78461456298828
current,131,1.578125,1.0000010863660962,29.78461456298828
current,132,1.58203125,1.000001111883359,29.78461456298828
current,133,1.5859375,1.0000010776814934,29.78461456298828
current,134,1.58984375,1.000001090589727,29.78461456298828
current,135,1.59375,1.0000010858785253,29.78461456298828
current,136,1.59765625,1.0000010994990276,29.78461456298828
current,137,1.6015625,1.000001052141595,29.78461456298828
current,138,1.60546875,1.0000010166978563,29.784616470336914
current,139,1.609375,1.0000010497108267,29.784616470336914
current,140,1.61328125,1.000001057163264,29.784616470336914
current,141,1.6171875,1.0000010011599312,29.784616470336914
current,142,1.62109375,1.0000010320407025,29.784616470336914
current,143,1.625,1.0000010228273115,29.784616470336914
current,144,1.62890625,1.0000009896645448,29.784618377685547
current,145,1.6328125,1.0000010062077296,29.784618377685547
current,146,1.63671875,1.0000009545026318,29.784618377685547
current,147,1.640625,1.000000982210571,29.784618377685547
current,148,1.64453125,1.0000009634747957,29.784618377685547
current,149,1.6484375,1.0000009491728836,29.784618377685547
current,150,1.65234375,1.0000009480921714,29.78462028503418
current,151,1.65625,1.000000881907519,29.78462028503418
current,152,1.66015625,1.0000009170669635,29.78462028503418
current,153,1.6640625,1.0000008882042202,29.78462028503418
current,154,1.66796875,1.000000870335016,29.78462028503418
current,155,1.671875,1.0000008619343095,29.784622192382813
current,156,1.67578125,1.0000008731520222,29.784622192382813
