model,seed,tracer_count,mass_ratio,speed_factor,inclination_deg,initial_offset_kpc,retrograde,duration_myr,frame,time_myr,separation_kpc,primary_rms_kpc,secondary_rms_kpc,primary_outer_fraction,secondary_outer_fraction,centers_energy_normalized_error,centers_angular_normalized_error
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,18,0,800,0,0,62.6418390534633,7.780303104195488,6.660339346614332,0,0,0,0
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,18,0,800,1,4,62.02764978486398,7.780336027274309,6.660379664517052,0,0,6.401910017540216e-11,1.217939103725626e-16
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,18,0,800,2,8,61.41107254589836,7.780437000201691,6.660498765979074,0,0,1.3130267579574493e-10,-4.059797012418753e-17
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,18,0,800,3,12,60.79206583821615,7.780608843521941,6.660693315108074,0,0,2.0206375810396033e-10,-2.435878207451252e-16
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,18,0,800,4,16,60.170586941341995,7.7808537464590035,6.660959420137547,0,0,2.7653382337175975e-10,-1.217939103725626e-16
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,18,0,800,5,20,59.54659186258112,7.781173323625533,6.6612928821508195,0,0,3.549592571113697e-10,1.217939103725626e-16
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,18,0,800,6,24,58.92003528435405,7.7815687042389525,6.661689451438935,0,0,4.3760860244147364e-10,1.6239188049675012e-16
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,18,0,800,7,28,58.29087050880725,7.782040632839267,6.662145080315097,0,0,5.247715582805374e-10,8.119594024837506e-17
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,18,0,800,8,32,57.65904939953873,7.782589557612119,6.662656161707557,0,0,6.167639294503791e-10,-4.059797012418753e-17
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,18,0,800,9,36,57.024522320266506,7.78321568406365,6.663219743478363,0,0,7.139276856059736e-10,4.059797012418753e-17
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,18,0,800,10,40,56.387238070258356,7.783918977570332,6.663833709366543,0,0,8.166340845150863e-10,2.0298985062093766e-16
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,18,0,800,11,44,55.747143816330315,7.784699107057778,6.664496919007138,0,0,9.252844970755343e-10,8.119594024837506e-17
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,18,0,800,12,48,55.10418502121029,7.785555332157964,6.6652093018422365,0,0,1.040320484311741e-9,2.0298985062093766e-16
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,18,0,800,13,52,54.45830536805193,7.786486346038991,6.665971902898864,0,0,1.1622207330249057e-9,6.08969551862813e-16
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,18,0,800,14,56,53.80944668087227,7.787490094340807,6.666786882001046,0,0,1.29150700770325e-9,1.0555472232288758e-15
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,18,0,800,15,60,53.157548840675744,7.788563596295827,6.6676574713268755,0,0,1.4287485113275426e-9,8.119594024837506e-16
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,18,0,800,16,64,52.50254969701477,7.789702796514155,6.668587898501105,0,0,1.5745724927358937e-9,6.901654921111881e-16
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,18,0,800,17,68,51.84438497472757,7.790902474679862,6.669583282991724,0,0,1.729663716255515e-9,8.119594024837506e-16
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,18,0,800,18,72,51.18298817558284,7.792156235393491,6.670649512291123,0,0,1.8947723582965094e-9,8.931553427321256e-16
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,18,0,800,19,76,50.518290474552636,7.793456591815185,6.671793101613491,0,0,2.0707237307696005e-9,9.337533128563131e-16
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,18,0,800,20,80,49.85022061042776,7.794795145384373,6.673021037437622,0,0,2.2584256473116807e-9,8.931553427321256e-16
